,university,career,inscription_date,name,gender,nacimiento,location,email
334,universidad tecnológica nacional,agronomía,2020/09/05,david molina,m,1913/03/09,cucha cucha,hugheschad@yahoo.com
335,universidad tecnológica nacional,técnico para bioterios ,2021/01/31,benjamin guzman,m,1989/09/11,san jose de piedra blanca,dillonmark@yahoo.com
336,universidad tecnológica nacional,contador público ,2020/12/05,keith oliver,m,1922/10/10,cullin manzano,vjohnson@yahoo.com
337,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/12/31,tracy sheppard,f,1969/11/29,aldea brasilera,julie18@yahoo.com
338,universidad tecnológica nacional,arquitectura,2020/12/11,dr. wesley meyer phd,m,1975/06/07,kilometro 125,christopher48@hotmail.com
339,universidad tecnológica nacional,licenciatura en psicología,2020/12/13,nancy williams,f,1949/09/12,arbuco,xthomas@hotmail.com
340,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/10/14,troy macias,m,1991/12/05,centro agricola el pato,marilynmarsh@yahoo.com
341,universidad tecnológica nacional,bioquímica,2020/12/19,patricia patterson,f,1957/06/20,chacras viejas,jhayes@hotmail.com
342,universidad tecnológica nacional,agronomía,2021/01/14,stephen delgado,m,1926/03/04,kilometro 525,glennmichael@hotmail.com
343,universidad tecnológica nacional,ingeniería mecánica,2020/10/15,david johnson,m,1992/09/25,centenario,williamsjerry@hotmail.com
344,universidad tecnológica nacional,agronomía,2020/12/15,angela williams,f,2002/07/12,30 de agosto,catherineprice@yahoo.com
345,universidad tecnológica nacional,medicina,2020/10/04,christopher joseph,m,1992/12/28,apeadero las chimbas,banksjames@hotmail.com
346,universidad tecnológica nacional,ingeniería en informática,2020/10/19,mr. jeffery bailey,m,1966/08/21,anecon chico,shane01@gmail.com
347,universidad tecnológica nacional,técnico para bioterios ,2020/10/31,carrie mason,f,1974/07/06,el camoati,janetmay@yahoo.com
348,universidad tecnológica nacional,farmacia,2020/12/03,pamela olson,f,1978/12/14,colonia escribano,sandraandrews@hotmail.com
349,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/10/29,james henderson,m,1962/08/05,aguas calientes,larsonrobert@gmail.com
350,universidad tecnológica nacional,contador público ,2020/11/17,benjamin torres,m,2019/03/07,maria magdalena,lindseymendez@gmail.com
351,universidad tecnológica nacional,bioquímica,2021/01/16,misty kim,f,1971/10/11,correntoso,greenmatthew@yahoo.com
352,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/09/13,christine hall,f,1922/04/05,comandante giribone,yedwards@hotmail.com
353,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/12/24,aaron nguyen,m,1949/02/06,altamirano norte,alexandra93@gmail.com
354,universidad tecnológica nacional,licenciatura en sociología ,2020/10/15,michael garcia,m,1961/02/05,grutly,cherylwatson@yahoo.com
355,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2021/01/09,bonnie hartman,f,2016/03/10,estacion lago epecuen,brian21@yahoo.com
356,universidad tecnológica nacional,arquitectura,2020/10/01,gilbert winters,m,1987/10/16,balneario la caleta,carol51@gmail.com
357,universidad tecnológica nacional,medicina,2020/11/18,jacob callahan,m,1968/01/17,altillo del medio,tammy24@hotmail.com
358,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/09/02,shane dean dds,m,1954/01/28,aguilares,kaylawilson@gmail.com
359,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/09/03,nancy moore dds,f,1938/09/29,arroyo castillo,tylercruz@hotmail.com
360,universidad tecnológica nacional,licenciatura en artes,2020/10/19,melinda oconnor,f,1994/02/23,aconquija,nataliebrown@gmail.com
361,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/10/29,robert murphy,m,1982/08/22,alvear,hunterlewis@gmail.com
362,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/10/01,gregory reese,m,2010/01/24,11 de mayo,pcarter@gmail.com
363,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/12/21,angela clark,f,1940/09/24,bocayuba,jennifer59@hotmail.com
364,universidad tecnológica nacional,licenciatura en administración ,2020/12/13,tina wade,f,1946/03/14,banda florida,greenmichael@hotmail.com
365,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2021/01/24,andres thompson,m,1912/03/16,el jaguel,alvaradokimberly@yahoo.com
366,universidad tecnológica nacional,bioquímica,2021/01/25,susan wilson,f,1908/04/10,villa manzano,ubrowning@hotmail.com
367,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/09/24,sheila meyer,f,1930/08/18,favelli,dawnrivera@yahoo.com
368,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/11/08,jasmine rojas,f,1993/04/23,general rodriguez,yvonne16@gmail.com
369,universidad tecnológica nacional,diseño industrial,2020/10/17,michael mcclure,m,1923/05/11,alvarez jonte,qburch@yahoo.com
370,universidad tecnológica nacional,actuario ,2020/09/28,dennis lawson,m,1907/01/17,el jaguel,nataliemcdaniel@hotmail.com
371,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/12/07,holly warren,f,1906/09/22,los frentones,mayerrhonda@yahoo.com
372,universidad tecnológica nacional,farmacia,2020/10/27,todd williams,m,1990/04/08,alto del saladillo,adampowers@hotmail.com
373,universidad tecnológica nacional,ciencias veterinarias,2020/10/19,donald zamora,m,1993/09/23,2 de julio,vbean@yahoo.com
374,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021/01/14,christopher marsh,m,2016/08/18,9 de julio,hendersonmark@hotmail.com
375,universidad tecnológica nacional,diseño de imagen y sonido,2020/10/10,chelsea sullivan,f,1948/10/14,aguas calientes,treilly@gmail.com
376,universidad tecnológica nacional,diseño de imagen y sonido,2020/09/04,andrew thornton,m,1917/10/01,dho,tburns@yahoo.com
377,universidad tecnológica nacional,ingeniería electrónica,2020/10/26,steven williams,m,2012/09/24,aguada florencio,lisa08@hotmail.com
378,universidad tecnológica nacional,actuario ,2021/01/18,timothy taylor,m,1935/09/09,colonia zapata,wagnergloria@hotmail.com
379,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/09/20,kim schneider,f,1927/05/11,dina huapi,ewingbrandon@hotmail.com
380,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2021/01/01,david flores,m,1947/04/01,ingeniero balbin,diana35@hotmail.com
381,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2021/01/20,dawn richards,f,1998/09/19,angelica,claudiaarmstrong@yahoo.com
382,universidad tecnológica nacional,licenciatura en musicoterapia,2020/09/17,scott bell,m,1968/11/30,abasto,gbrown@gmail.com
383,universidad tecnológica nacional,farmacia,2020/11/03,adrian rodriguez,m,2008/09/23,cutral co,edwardturner@yahoo.com
384,universidad tecnológica nacional,licenciatura en psicología,2021/01/08,andrew becker,m,1934/01/31,alizal,kgibson@hotmail.com
385,universidad tecnológica nacional,contador público ,2020/09/04,michelle lang,f,1935/07/13,la chirlandia,scottanthony@gmail.com
386,universidad tecnológica nacional,medicina,2020/09/01,michael johnson,m,1991/11/22,cantera villalonga,vpage@yahoo.com
387,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/09/23,kelly hess,f,1910/01/28,colonia la gaviota,bryantpatricia@gmail.com
388,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/09/28,kristopher clements,m,1949/06/21,ingeniero thompson,jonestamara@gmail.com
389,universidad tecnológica nacional,diseño de imagen y sonido,2020/09/24,sergio ramos,m,1959/04/21,puesto de isla,smithwilliam@gmail.com
390,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/11/29,heather gonzalez,f,1998/03/09,arturo almaraz,cody79@gmail.com
391,universidad tecnológica nacional,ingeniería electrónica,2020/10/13,corey murray,m,1983/05/12,buena nueva,ashley32@hotmail.com
392,universidad tecnológica nacional,técnico para bioterios ,2020/09/18,gary watkins,m,1967/03/22,cameron,hollybrown@gmail.com
393,universidad tecnológica nacional,licenciatura en musicoterapia,2020/09/11,john wagner,m,1986/02/25,arroyo san juan,blakemary@yahoo.com
394,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/12/11,barbara sparks,f,1978/01/13,baradero,jason73@yahoo.com
395,universidad tecnológica nacional,licenciatura en administración ,2020/10/16,lisa frye,f,2015/04/02,alto del salvador,xmcdonald@yahoo.com
396,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/12/31,christopher perkins,m,2016/06/27,juan vucetich ex dr r levene,andrewowen@gmail.com
397,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/10/26,caleb page,m,1924/08/30,banda florida,johnathanbradley@gmail.com
398,universidad tecnológica nacional,licenciatura en artes,2020/10/03,james johnson,m,1952/11/11,carreras,shirleymedina@yahoo.com
399,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/12/16,alison scott,f,2000/10/19,la querencia,lphillips@hotmail.com
400,universidad tecnológica nacional,licenciatura en administración ,2020/11/18,laurie holmes,f,2005/09/27,cabreria,griffithtraci@gmail.com
401,universidad tecnológica nacional,licenciatura en ciencias biológicas,2021/01/06,erin caldwell,f,1942/10/18,aguapey,douglas95@gmail.com
402,universidad tecnológica nacional,bioquímica,2021/01/31,david garrett,m,2016/01/31,cerrillos al sud,christian47@yahoo.com
403,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021/01/08,brittney hines,f,1968/10/15,alpachiri,justinroberts@gmail.com
404,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/12/04,brittany freeman,f,2002/04/09,san antonio de padua,glenn53@yahoo.com
405,universidad tecnológica nacional,licenciatura en terapia ocupacional,2021/01/03,rachel marsh,f,1950/09/15,wheelwright,chandlerjessica@hotmail.com
406,universidad tecnológica nacional,licenciatura en ciencia política ,2020/09/16,kelly daniels,m,1933/02/25,manuel ocampo,davidsonmichael@hotmail.com
407,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/11/25,angela chavez,f,1985/08/29,cabure,sandraparsons@hotmail.com
408,universidad tecnológica nacional,ingeniería mecánica,2020/11/24,susan powell dds,f,1941/07/06,achiras,jason10@yahoo.com
409,universidad tecnológica nacional,diseño industrial,2020/12/25,andrea martinez,f,1940/09/10,alcaraz norte,tonythompson@hotmail.com
410,universidad tecnológica nacional,licenciatura en artes,2020/09/30,chad logan,m,2000/08/02,baños lunlunta,robertswesley@hotmail.com
411,universidad tecnológica nacional,licenciatura en ciencia política ,2020/10/02,brandi wheeler,f,1987/07/12,cortines,tlong@gmail.com
412,universidad tecnológica nacional,medicina,2020/12/11,benjamin sampson,m,1946/03/05,paso telegrafo,amandakhan@gmail.com
413,universidad tecnológica nacional,diseño de imagen y sonido,2020/10/16,vickie jones,f,2018/10/20,bajo las tunas,xrodriguez@hotmail.com
414,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2021/01/15,dylan reyes,m,1969/03/19,algarrobo,eric32@hotmail.com
415,universidad tecnológica nacional,ingeniería mecánica,2021/01/26,ricky carlson,m,1985/06/01,barrio belgrano,janegibson@gmail.com
416,universidad tecnológica nacional,ingeniería en informática,2021/01/23,christopher henderson,m,1908/06/16,el hoyo,kristinapearson@yahoo.com
417,universidad tecnológica nacional,ingeniería electrónica,2020/12/15,adam bridges,m,1957/03/08,las hermanas,dennis12@hotmail.com
418,universidad tecnológica nacional,farmacia,2020/09/19,teresa gordon,f,1989/08/10,canal 15 cerro de la gloria,sgarrett@gmail.com
419,universidad tecnológica nacional,ingeniería electrónica,2021/01/18,melissa dunn,f,1939/10/21,el pino,stacygraves@gmail.com
420,universidad tecnológica nacional,licenciatura en sociología ,2021/01/05,lawrence thomas,m,1933/10/12,paso de los andes,dking@hotmail.com
421,universidad tecnológica nacional,licenciatura en psicología,2020/12/08,johnny thomas,m,1950/02/11,gente grande,abaker@hotmail.com
422,universidad tecnológica nacional,ingeniería electrónica,2020/11/22,megan alvarez,f,1943/08/31,campana,tom37@gmail.com
423,universidad tecnológica nacional,medicina,2020/12/22,lindsay smith,f,1981/07/06,caracoles,hooperpatrick@hotmail.com
424,universidad tecnológica nacional,agronomía,2020/11/06,angel nelson,f,1935/01/10,banfield,floresedwin@hotmail.com
425,universidad tecnológica nacional,diseño de imagen y sonido,2020/12/11,felicia harris,f,1931/08/29,colonia belgrano,briana28@hotmail.com
426,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/10/07,cameron taylor,m,2016/10/09,barrio chapadmalal,terrance51@gmail.com
427,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/10/24,charles hess,m,1973/01/19,antonio tomas,ryanbrown@yahoo.com
428,universidad tecnológica nacional,licenciatura en psicología,2021/01/03,kristine martinez,f,1924/07/07,arroyo palmar,kellerrobin@gmail.com
429,universidad tecnológica nacional,ingeniería mecánica,2021/01/21,danielle edwards,f,1922/01/21,colhue huapi,shill@yahoo.com
430,universidad tecnológica nacional,técnico para bioterios ,2021/01/01,angela hill,f,1953/12/08,colonia monte la plata,lisasolomon@gmail.com
431,universidad tecnológica nacional,ingeniería mecánica,2020/12/15,alexander mathews,m,1959/01/19,22 de mayo,brownjohn@gmail.com
432,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/10/31,gerald white,m,1980/06/26,el carbalino,jessica69@hotmail.com
433,universidad tecnológica nacional,actuario ,2020/09/28,sarah ramirez,f,1916/04/28,estancia las gamas,moorejeffrey@gmail.com
434,universidad tecnológica nacional,licenciatura en artes,2020/12/02,joshua rogers,m,1944/08/13,el bombero,taylorjohnson@gmail.com
435,universidad tecnológica nacional,medicina,2020/10/15,steven strickland,m,2021/02/07,alcaraz sud,whitney32@yahoo.com
436,universidad tecnológica nacional,ingeniería electrónica,2020/10/05,george walsh,m,1945/02/23,el gualicho,xchavez@hotmail.com
437,universidad tecnológica nacional,agronomía,2021/01/05,mark herman,m,1962/09/18,arroyo molino,martinashley@gmail.com
438,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2021/01/18,michael thompson,m,1952/08/17,angaco norte,ortegadawn@yahoo.com
439,universidad tecnológica nacional,licenciatura en artes,2020/09/16,kristen parker,f,1920/06/22,barrancon,simmonsthomas@gmail.com
440,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/11/17,nicole nelson,f,1983/07/16,villa eloisa,douglasandrews@gmail.com
441,universidad tecnológica nacional,medicina,2021/01/12,thomas oliver,m,1998/03/18,aero club rosario,amylong@hotmail.com
442,universidad tecnológica nacional,arquitectura,2020/10/29,heather brady,f,1906/03/05,juan f ibarra,maurice76@gmail.com
443,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/11/08,shane logan,m,1939/10/03,alejandra,nferrell@hotmail.com
444,universidad tecnológica nacional,licenciatura en psicología,2020/12/17,deborah mccoy,f,2014/05/11,bathurst estacion,robertsjessica@hotmail.com
445,universidad tecnológica nacional,licenciatura en ciencia política ,2020/09/01,wendy barnes,f,1953/04/30,la isabel,valenciaholly@gmail.com
446,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/11/04,cindy barron,f,1915/08/06,estacion mazan,wagnerjohn@gmail.com
447,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/11/02,paul cox,m,1960/06/13,alcete,brianingram@yahoo.com
448,universidad tecnológica nacional,contador público ,2020/10/13,samantha rose,f,2007/11/28,la ribera,amanda07@gmail.com
449,universidad tecnológica nacional,licenciatura en psicología,2021/01/03,lawrence barrera,m,1998/09/30,iraola,tinapark@hotmail.com
450,universidad tecnológica nacional,licenciatura en ciencia política ,2020/09/20,melanie hall,f,1937/03/16,lavalle,raymondchristopher@gmail.com
451,universidad tecnológica nacional,diseño de imagen y sonido,2020/09/29,robert walls,m,2012/02/24,campo coubert,eric06@yahoo.com
452,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/09/24,patricia wagner,f,1989/08/07,4 de febrero,gibbsdavid@gmail.com
453,universidad tecnológica nacional,arquitectura,2020/11/12,scott bennett,m,1977/11/03,gaboto,kennethgarcia@yahoo.com
454,universidad tecnológica nacional,ingeniería mecánica,2021/01/14,allen weber,m,1943/11/06,argerich,yruiz@gmail.com
455,universidad tecnológica nacional,actuario ,2020/12/09,valerie west,f,1986/05/21,chiclana,iwatson@gmail.com
456,universidad tecnológica nacional,licenciatura en ciencias biológicas,2021/01/29,mackenzie martinez,f,1981/04/23,dos hermanos,hollypollard@yahoo.com
457,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/12/02,angelica webster,f,1916/04/20,agua botada,morganrachel@yahoo.com
458,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/12/09,grace kirby,f,1924/02/15,abra rica,becky42@hotmail.com
459,universidad tecnológica nacional,diseño industrial,2021/01/27,alicia hill,f,2012/03/18,2 de mayo,jenniferwillis@yahoo.com
460,universidad tecnológica nacional,licenciatura en psicología,2020/12/30,matthew johnson,m,1941/08/11,huanguelen,xroberts@hotmail.com
461,universidad tecnológica nacional,licenciatura en ciencia política ,2020/12/01,brian ali,m,1952/06/15,algarrobitos 1ro,jrodriguez@yahoo.com
462,universidad tecnológica nacional,licenciatura en administración ,2021/01/30,john bryant,m,1970/05/03,ingeniero beaugey,maryavila@gmail.com
463,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/10/23,jason morrison,m,1931/02/12,campo largo,teresawallace@gmail.com
464,universidad tecnológica nacional,licenciatura en artes,2021/01/25,brian thomas,m,1985/05/21,el alto,hallen@yahoo.com
465,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2021/01/27,sara hayes,f,1916/05/05,adolfo rodriguez saa,aromero@gmail.com
466,universidad tecnológica nacional,medicina,2020/11/15,michael robertson,m,1944/04/10,san mayol,moraneric@yahoo.com
467,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/10/24,patrick stephenson dvm,m,1964/10/18,capitan castro,hbrown@gmail.com
468,universidad tecnológica nacional,contador público ,2020/10/13,paul jordan,m,1978/12/16,chanilao,amarshall@gmail.com
469,universidad tecnológica nacional,contador público ,2020/11/14,eric rogers,m,1917/10/26,cerrillos al sud,kaylee84@yahoo.com
470,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021/01/23,kathryn lucas,f,1969/08/10,langueyu,elizabeth86@yahoo.com
471,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/12/15,kathryn smith,f,1959/11/25,cavour,pam05@gmail.com
472,universidad tecnológica nacional,diseño de imagen y sonido,2020/09/01,megan henderson,f,1955/12/18,la california,david80@gmail.com
473,universidad tecnológica nacional,diseño de imagen y sonido,2020/12/06,sean clements,m,1968/07/06,barrio emir ramon juarez,qmorrison@gmail.com
474,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/12/23,matthew taylor,m,2019/04/08,arroyo canelon,krobinson@hotmail.com
475,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/12/17,richard neal,m,1973/06/14,abra,smartinez@gmail.com
476,universidad tecnológica nacional,contador público ,2020/10/24,hannah pena,f,1911/01/14,9 de julio,rmejia@yahoo.com
477,universidad tecnológica nacional,contador público ,2020/12/07,anthony gill,m,1909/04/05,el araza,woodmary@hotmail.com
478,universidad tecnológica nacional,ingeniería mecánica,2020/12/01,lisa brown,f,1967/05/24,chancay,jacobramos@gmail.com
479,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/09/25,kim miller,f,1978/02/05,caraguatay,ldillon@gmail.com
480,universidad tecnológica nacional,licenciatura en musicoterapia,2020/10/26,david cole,m,1936/03/20,blaquier,robert51@gmail.com
481,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/12/15,benjamin mitchell,m,2018/10/28,10 de mayo,mcculloughjodi@hotmail.com
482,universidad tecnológica nacional,ingeniería electrónica,2020/11/29,danielle harris,f,2005/12/30,alejandra,vincentnicholas@hotmail.com
483,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/10/29,russell paul,m,1990/01/03,25 de mayo,xhancock@yahoo.com
484,universidad tecnológica nacional,diseño industrial,2020/09/16,elizabeth smith,f,1939/04/17,colonia clara,amandacharles@gmail.com
485,universidad tecnológica nacional,licenciatura en psicología,2021/01/15,caleb adams,m,2020/05/30,agua del simbol,dcollins@gmail.com
486,universidad tecnológica nacional,ingeniería en informática,2020/11/05,brian howell,m,1958/03/24,angaco norte,jamesallen@gmail.com
487,universidad tecnológica nacional,licenciatura en ciencia política ,2020/10/09,robert douglas,m,1921/08/16,aldea san gregorio,katherine08@gmail.com
488,universidad tecnológica nacional,ingeniería electrónica,2020/09/07,tyler robinson,m,1966/03/08,arroyo canelon,westrebecca@gmail.com
489,universidad tecnológica nacional,licenciatura en ciencia política ,2020/09/30,steven matthews,m,1950/07/15,colonia mackinlay,graydaniel@gmail.com
490,universidad tecnológica nacional,medicina,2020/12/11,christina gibson,f,1953/08/27,aguapey,yfoley@gmail.com
491,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/12/15,stacey khan,f,2013/02/02,9 de julio kilometro 20,heidi38@yahoo.com
492,universidad tecnológica nacional,ciencias veterinarias,2021/01/31,daniel kim,m,1990/05/06,centro comunitario cnia nue,qconway@gmail.com
493,universidad tecnológica nacional,licenciatura en musicoterapia,2020/12/22,keith roman,m,2005/12/25,alcaraz 1ro,oscarchoi@yahoo.com
494,universidad tecnológica nacional,bioquímica,2020/11/05,joshua harris,m,1928/04/30,almacen castro,nmccarthy@gmail.com
495,universidad tecnológica nacional,licenciatura en ciencia política ,2020/10/14,catherine kelley,f,1992/03/04,avena,lawsonjoshua@gmail.com
496,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/05,jordan nguyen,f,2002/08/28,cabo san fermin,richardsonamanda@gmail.com
497,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/09/09,leonard campbell,m,1958/10/16,colonia beaufort,maryfox@gmail.com
498,universidad tecnológica nacional,diseño industrial,2021/01/27,eric stout,m,2002/08/23,la pelada,alexandria72@hotmail.com
499,universidad tecnológica nacional,diseño de imagen y sonido,2020/11/17,david miller,m,2008/06/14,10 de mayo,jeffreykelley@hotmail.com
500,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/03,dr. brandon frye dds,m,2015/03/05,atencio,butlersarah@hotmail.com
501,universidad tecnológica nacional,licenciatura en musicoterapia,2020/11/21,daniel warner md,m,1965/04/05,empalme frontera,starkstacey@gmail.com
502,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/11/15,daniel smith,m,1933/05/19,cushamen,jennifer24@yahoo.com
503,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/12/17,aaron hansen,m,1907/10/25,alejandro petion,michaelmacdonald@yahoo.com
504,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2021/01/27,linda bryant,f,2004/12/02,batelito,lacey88@hotmail.com
505,universidad tecnológica nacional,contador público ,2020/12/22,rebecca hooper,f,1929/01/20,casira,john66@gmail.com
506,universidad tecnológica nacional,contador público ,2020/10/06,brooke bailey,f,1995/06/20,cerana,udaniels@gmail.com
507,universidad tecnológica nacional,licenciatura en ciencia política ,2020/11/14,brian lopez,m,1971/10/01,alto grande,kennethgreen@yahoo.com
508,universidad tecnológica nacional,contador público ,2021/01/07,mark jones,m,2016/12/20,coronel granada,william23@gmail.com
509,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2021/01/04,richard livingston,m,1925/08/14,ampata,reiddarren@gmail.com
510,universidad tecnológica nacional,agronomía,2020/12/22,larry taylor,m,1995/02/17,arroyo las minas,ystevens@yahoo.com
511,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/11/19,jennifer hardin,f,1944/01/30,colpes,imcdowell@gmail.com
512,universidad tecnológica nacional,técnico para bioterios ,2020/11/26,thomas gillespie,m,2019/08/18,capitan montoya,fordkathy@hotmail.com
513,universidad tecnológica nacional,bioquímica,2020/09/16,mary harris,f,1943/10/15,centenario,daniel90@gmail.com
514,universidad tecnológica nacional,agronomía,2020/10/18,daniel macias,m,1913/09/27,bernal este,michaelmckay@gmail.com
515,universidad tecnológica nacional,licenciatura en terapia ocupacional,2021/01/08,melanie wilkins,f,1924/10/24,alberto flores,jacobsonpamela@yahoo.com
516,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/11/19,andre lewis,m,1943/02/02,anasagasti,kking@yahoo.com
517,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/12/21,carlos downs,m,1907/12/02,colonia valdez,fsanchez@yahoo.com
518,universidad tecnológica nacional,técnico para bioterios ,2020/09/22,lori collins,f,1955/12/03,bañadito viejo,morenowendy@yahoo.com
519,universidad tecnológica nacional,diseño industrial,2021/01/18,joshua lawrence,m,1972/04/05,algarrobo,sarahpeterson@yahoo.com
520,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/09/09,joel garcia,m,1976/12/09,colonia hardy,stevensalexander@hotmail.com
521,universidad tecnológica nacional,ingeniería electrónica,2020/11/27,elizabeth smith,f,1918/07/03,paso telegrafo,wilkinsonjoseph@gmail.com
522,universidad tecnológica nacional,diseño de imagen y sonido,2020/09/02,jessica parsons,f,1925/04/05,alto de las arañas,moralesivan@hotmail.com
523,universidad tecnológica nacional,licenciatura en musicoterapia,2021/01/05,wesley bradley,m,2005/01/08,colonia el simbol,amy91@hotmail.com
524,universidad tecnológica nacional,licenciatura en ciencia política ,2020/10/10,brandi evans,f,2010/05/24,el guanaco,petersonnicole@gmail.com
525,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/10/10,david lawrence,m,1967/10/24,arroyo corralito,wolfjenny@yahoo.com
526,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/12/08,john vasquez,m,2005/05/16,colonia adolfo alsina,christopher64@yahoo.com
527,universidad tecnológica nacional,licenciatura en ciencia política ,2020/09/18,chelsea ray,f,1960/11/22,basail,whitesean@yahoo.com
528,universidad tecnológica nacional,diseño de imagen y sonido,2020/10/15,taylor bennett,f,1992/01/02,campo la lima,matthewsmary@gmail.com
529,universidad tecnológica nacional,licenciatura en sociología ,2020/10/16,summer klein,f,2000/07/20,campo del norte americano,chadcummings@gmail.com
530,universidad tecnológica nacional,medicina,2020/10/22,john ford,m,1958/01/19,el potrero,elizabeth32@yahoo.com
531,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/11/20,kathryn jones,f,2019/05/30,abipones,tmorton@gmail.com
532,universidad tecnológica nacional,técnico para bioterios ,2020/11/09,katelyn alexander,f,2010/02/12,aconquija,timothy89@gmail.com
533,universidad tecnológica nacional,contador público ,2020/09/11,brian mason,m,1974/09/10,colonia los sauces,mwolf@gmail.com
534,universidad tecnológica nacional,diseño de imagen y sonido,2020/10/26,janice lara,f,1936/04/01,atreuco,alijulie@yahoo.com
535,universidad tecnológica nacional,ingeniería en informática,2020/11/15,donald eaton,m,1976/11/07,17 de agosto,thomasamber@hotmail.com
536,universidad tecnológica nacional,agronomía,2020/10/20,ronald baldwin,m,1994/09/06,banda varela,smontgomery@yahoo.com
537,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/09/23,cheryl smith,f,1961/07/04,canning,jeffreykrause@gmail.com
538,universidad tecnológica nacional,farmacia,2020/10/04,kyle sellers,m,1958/08/25,9 de abril,oashley@gmail.com
539,universidad tecnológica nacional,técnico para bioterios ,2020/11/30,andrew martin md,m,1923/02/03,estacion christophersen,johnhodges@yahoo.com
540,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/09/18,brianna harrison,f,1922/02/13,chivilcoy,samantha49@gmail.com
541,universidad tecnológica nacional,licenciatura en artes,2020/10/28,anthony shah,m,2020/09/06,kilometro 125,fgilmore@yahoo.com
542,universidad tecnológica nacional,licenciatura en artes,2020/10/15,ryan hernandez,m,1912/06/07,banda florida,leblancrachel@gmail.com
